R	53.3755	-6.33135	D912	08 Oct 2020	D912\n11:17 - Dublin Connolly to Maynooth (2 mins late)\nDeparted Ashtown next stop Navan Road Parkway	Northbound
R	53.3777	-6.34591	P741	08 Oct 2020	P741\n11:10 - Maynooth to Dublin Connolly (-1 mins late)\nArrived Navan Road Parkway next stop Ashtown	Southbound
R	53.378	-6.58993	A904	08 Oct 2020	A904\n11:00 - Dublin Connolly to Sligo (-1 mins late)\nArrived Maynooth next stop Kilcock	Northbound
R	53.3786	-6.19131	E915	08 Oct 2020	E915\n10:35 - Bray to Howth (0 mins late)\nDeparted Harmonstown next stop Raheny	Northbound
R	53.387	-6.16163	E223	08 Oct 2020	E223\n11:20 - Howth to Bray (1 mins late)\nArrived Kilbarrack next stop Raheny	Southbound
T	53.0371	-7.30086	D205	08 Oct 2020	D205\n10:25 - Dublin Heuston to Portlaoise(-2 mins late)\nTERMINATED Portlaoise at 11:30	To Portlaoise
T	53.1442	-6.06085	E109	08 Oct 2020	E109\n10:00 - Howth to Greystones(0 mins late)\nTERMINATED Greystones at 11:25	Southbound
T	53.2043	-6.10046	E218	08 Oct 2020	E218\n10:10 - Malahide to Bray(2 mins late)\nTERMINATED Bray at 11:27	Southbound
T	53.2043	-6.10046	E219	08 Oct 2020	E219\n10:20 - Howth to Bray(-1 mins late)\nTERMINATED Bray at 11:33	Southbound
T	53.378	-6.58993	D911	08 Oct 2020	D911\n10:47 - Dublin Connolly to Maynooth(-1 mins late)\nTERMINATED Maynooth at 11:26	Northbound
T	53.3891	-6.07401	E914	08 Oct 2020	E914\n10:04 - Greystones to Howth(0 mins late)\nTERMINATED Howth at 11:28	Northbound
